UserOwner,AlbumName,SongReleaseDate,ArtistName,SongIsExplicit,SongId,SongName,PlaylistName
garciavicval,Star Wars: La Amenaza Fantasma (Banda Sonora Original),1999-05-04,John Williams,False,4K8yiIFLmDABCiSNRqqkP1,Duel of the Fates,Best soundtracks
garciavicval,The Elder Scrolls IV: Oblivion: Original Game Soundtrack,2006-03-20,Jeremy Soule,False,4QX9ua1QVyhfAWy73TtrlH,Reign of the Septims,Best soundtracks
garciavicval,The Elder Scrolls IV: Oblivion: Original Game Soundtrack,2006-03-20,Jeremy Soule,False,77dmvB30VrxEJOaNduzPhB,King and Country,Best soundtracks
garciavicval,Skyrim 10th Anniversary Concert,2021-11-12,London Symphony Orchestra,False,01qedueVyuzqkJEVgQy92x,Dragonborn,Best soundtracks
garciavicval,Beyond The Imperial Prison (Oblivion Medley),2016-04-01,Hyperduck Soundworks,False,0W7O1J4XdisRAovaoEUn4h,Beyond The Imperial Prison (Oblivion Medley),Best soundtracks
garciavicval,Morrowind Recomposed: The Elder Scrolls III Theme,2021-06-03,Jeremy Soule,False,0qyNyhpufB9NlIyjeK7gtJ,Morrowind Recomposed: The Elder Scrolls III Theme,Best soundtracks
garciavicval,Skyrim 10th Anniversary Concert,2021-11-12,London Symphony Orchestra,False,4enDybLwPnPtvmHYhNpN3K,One They Fear,Best soundtracks
garciavicval,Skyrim 10th Anniversary Concert,2021-11-12,London Symphony Orchestra,False,0qmwi7jie2hdV1czlctK9p,Unbroken Road,Best soundtracks
garciavicval,Oblivion Reimagined,2020-03-26,Collosia,False,7syq5HCT5KWP1aEnkKZKYK,"Peace of Akatosh (From ""The Elder Scrolls IV: Oblivion"")",Best soundtracks
garciavicval,Skyrim 10th Anniversary Concert,2021-11-12,London Symphony Orchestra,False,1mWQ598dW6GsEKorVonbev,Aurora,Best soundtracks
garciavicval,Skyrim 10th Anniversary Concert,2021-11-12,London Symphony Orchestra,False,3d5JycJJEgg9c2X2xQYpnf,Far Horizons,Best soundtracks
garciavicval,Skyrim 10th Anniversary Concert,2021-11-12,London Symphony Orchestra,False,4vbUK4XZ8wNv9boWtZ4kzE,"Sky Above, Voice Within",Best soundtracks
garciavicval,Skyrim 10th Anniversary Concert,2021-11-12,London Symphony Orchestra,False,6KkZE9k2dei7szqTVD3I1X,Kyne's Peace,Best soundtracks
garciavicval,Skyrim 10th Anniversary Concert,2021-11-12,London Symphony Orchestra,False,7IoFEGTzSd3tyVn8UheYLL,From Past to Present,Best soundtracks
garciavicval,The Lord of the Rings: The Two Towers (Original Motion Picture Soundtrack),2002-12-02,Howard Shore,False,1TQKEwq4y9SkNciJuisE1m,Evenstar,Best soundtracks
garciavicval,The Witcher 2: Assassins Of Kings (Enhanced Edition) [Original Game Soundtrack],2015-09-09,Adam Skorupa,False,2SbHDqxefXnysUVJHbJbov,Dwarven Stone Upon Dwarven Stone,Best soundtracks
garciavicval,Crusader Kings 3 (Official Game Soundtrack),2020-08-28,Philip Wareborn,False,7J4Vw1CkFBHFPhQ2ysd7ph,Veni Vidi Vici,Best soundtracks
garciavicval,Bloodborne Original Soundtrack,2015-04-22,SIE Sound Team,False,1sASrsTThIW04adr1sgfTh,Moonlit Melody,Best soundtracks
garciavicval,No Sleep,2014-01-14,DJ ESCO,True,44lUcHz7LXhvdlwLy8WsBg,How It Was (feat. Future),Gang shit (Classic)
garciavicval,Operation Stackola,1995-01-01,Luniz,False,4IYKjN1DrYzxKXt0umJqsG,I Got 5 On It,Gang shit (Classic)
garciavicval,Life of a DON,2021-10-08,Don Toliver,True,4qS2KPWvsQzLvRa9oCHw41,You (feat. Travis Scott),Gang shit (Classic)
garciavicval,Black Panther The Album Music From And Inspired By,2018-02-09,ScHoolboy Q,True,4LmAnpjlhWTahvRkYR8xJa,X (with 2 Chainz & Saudi),Gang shit (Classic)
garciavicval,Life of a DON,2021-10-08,Don Toliver,True,3dVsUkabHea7AVFjm92gZ4,OUTERSPACE (feat. Baby Keem),Gang shit (Classic)
garciavicval,Life of a DON,2021-10-08,Don Toliver,True,7AiN0hMC6PkB59VndNtNsJ,Smoke (feat. HVN & SoFaygo),Gang shit (Classic)
garciavicval,The Off-Season,2021-05-14,J. Cole,False,3cLc5HfEVkD78OA8Z6IEet,a m a r i,Gang shit (Classic)
garciavicval,Culture III,2021-06-11,Migos,True,4KD0lLJ4OGonZhBeKtct9I,Avalanche,Gang shit (Classic)
