,UserOwner,AlbumName,SongReleaseDate,ArtistName,SongIsExplicit,SongName,PlaylistName,artist,title,lyric,negative,neutral,positive,compound
0,markettes99,Mazde X LissA,2015-07-31,Mazde,False,Battas,Electrónica,,,,,,,
1,markettes99,Dancin (feat. Luvli) [Krono Remix],2014-11-07,Aaron Smith,False,Dancin (feat. Luvli) - Krono Remix,Electrónica,,,,,,,
2,markettes99,Providence,2016-02-05,Hippie Sabotage,False,Devil Eyes,Electrónica,,,,,,,
3,markettes99,Presence,2017-11-10,Petit Biscuit,False,Sunset Lover,Electrónica,,,,,,,
4,markettes99,Coffee,2019-01-11,Hippie Sabotage,False,Coffee,Electrónica,,,,,,,
5,markettes99,Drifter,2017-05-19,Hippie Sabotage,False,Rogues,Electrónica,,,,,,,
6,markettes99,Play Me Like A Violin,2018-02-09,Stephen,False,Play Me Like A Violin,Electrónica,,,,,,,
7,markettes99,We Were Young (The Playlist),2019-07-26,Petit Biscuit,False,You,Electrónica,,,,,,,
8,markettes99,Rushing Back (Petit Biscuit Remix),2019-10-23,Flume,False,Rushing Back - Petit Biscuit Remix,Electrónica,,,,,,,
9,markettes99,Old Friend,2018-11-27,Elderbrook,False,Bird Song,Electrónica,,,,,,,
10,markettes99,Rushing Back,2019-09-25,Flume,False,Rushing Back,Electrónica,,,,,,,
11,markettes99,NOVA,2018-07-27,RL Grime,False,Atoms,Electrónica,,,,,,,
12,markettes99,Can We Kiss Forever?,2018-08-31,Kina,False,Can We Kiss Forever?,Electrónica,,,,,,,
13,markettes99,No Idea,2019-05-29,Don Toliver,False,No Idea,Electrónica,,,,,,,
14,markettes99,Moon Rider (feat. Wrabel),2020-01-14,Jai Wolf,False,Moon Rider (feat. Wrabel),Electrónica,,,,,,,
15,markettes99,Falling,2018-10-05,Trevor Daniel,False,Falling,Electrónica,,,,,,,
16,markettes99,Roses (Imanbek Remix),2019-10-09,SAINt JHN,True,Roses - Imanbek Remix,Electrónica,,,,,,,
17,markettes99,The Singles Plus,1987-10-19,The Animals,False,House of the Rising Sun,Acoustic Songs,,,,,,,
18,markettes99,Love Is a Four Letter Word (Deluxe Edition),2012-04-13,Jason Mraz,False,I Won't Give Up,Acoustic Songs,,,,,,,
19,markettes99,Rumours,1977-02-04,Fleetwood Mac,False,Never Going Back Again - 2004 Remaster,Acoustic Songs,,,,,,,
20,markettes99,Fast Car (Acoustic),2016-02-01,Jonas Blue,False,Fast Car - Acoustic,Acoustic Songs,,,,,,,
21,markettes99,Sunday Night Sessions,2017-07-02,Passenger,False,Fast Car (Cover),Acoustic Songs,,,,,,,
22,markettes99,Greatest Hits,2009-11-03,Foo Fighters,False,Everlong - Acoustic Version,Acoustic Songs,,,,,,,
23,markettes99,Wish You Were Here (Remastered Version),1975-09-12,Pink Floyd,False,Wish You Were Here - 2011 Remaster,Acoustic Songs,,,,,,,
24,markettes99,Nimrod,1997-10-14,Green Day,True,Good Riddance (Time of Your Life),Acoustic Songs,,,,,,,
25,markettes99,Make Yourself,1999-10-26,Incubus,False,Drive,Acoustic Songs,,,,,,,
26,markettes99,Harvest (2009 Remaster),1972-02-14,Neil Young,False,Heart of Gold - 2009 Remaster,Acoustic Songs,,,,,,,
27,markettes99,Who's Next,1971-08-14,The Who,False,Behind Blue Eyes,Acoustic Songs,,,,,,,
28,markettes99,Goats Head Soup (Remastered 2009),1973-08-31,The Rolling Stones,False,Angie,Acoustic Songs,,,,,,,
29,markettes99,American IV: The Man Comes Around,2002-01-01,Johnny Cash,False,Hurt,Acoustic Songs,,,,,,,
30,markettes99,Led Zeppelin (Remaster),1969-01-12,Led Zeppelin,False,Babe I'm Gonna Leave You - Remaster,Acoustic Songs,,,,,,,
31,markettes99,In Between Dreams,2005-01-01,Jack Johnson,False,Banana Pancakes,Acoustic Songs,,,,,,,
32,markettes99,Even In The Quietest Moments,1977-01-01,Supertramp,False,Give A Little Bit,Acoustic Songs,,,,,,,
33,markettes99,Ten Summoner's Tales,1993-03-09,Sting,False,Shape Of My Heart,Acoustic Songs,,,,,,,
34,markettes99,The Beatles (Remastered),1968-11-22,The Beatles,False,Blackbird - Remastered 2009,Acoustic Songs,,,,,,,
35,markettes99,Continuum,2006-09-11,John Mayer,False,Stop This Train,Acoustic Songs,,,,,,,
36,markettes99,"The John Denver Collection, Vol 1: Take Me Home Country Roads",1997-06-17,John Denver,False,"Take Me Home, Country Roads",Acoustic Songs,,,,,,,
37,markettes99,Clapton Chronicles: The Best of Eric Clapton,1999-10-12,Eric Clapton,False,Tears in Heaven,Acoustic Songs,,,,,,,
38,markettes99,Stadium Arcadium,2006-05-09,Red Hot Chili Peppers,False,Slow Cheetah,Acoustic Songs,,,,,,,
39,markettes99,"Wednesday Morning, 3 A.M.",1964-10-19,Simon & Garfunkel,False,The Sound of Silence - Acoustic Version,Acoustic Songs,,,,,,,
40,markettes99,The Hobbit - The Desolation Of Smaug (Original Motion Picture Soundtrack / Special Edition),2013-01-01,Ed Sheeran,False,"I See Fire - From ""The Hobbit - The Desolation Of Smaug""",Acoustic Songs,,,,,,,
41,markettes99,All The Little Lights,2012-11-05,Passenger,False,Let Her Go - Acoustic,Acoustic Songs,,,,,,,
42,markettes99,Hotel California (2013 Remaster),1976-12-08,Eagles,False,Hotel California - 2013 Remaster,Acoustic Songs,,,,,,,
43,markettes99,Abbey Road (Remastered),1969-09-26,The Beatles,False,Here Comes The Sun - Remastered 2009,Acoustic Songs,,,,,,,
44,markettes99,In Absentia,2002-09-24,Porcupine Tree,False,Trains,Acoustic Songs,,,,,,,
45,markettes99,Out Of Time (25th Anniversary Edition),1991-03-12,R.E.M.,False,Losing My Religion,Acoustic Songs,,,,,,,
46,markettes99,Jolene,1974-02-04,Dolly Parton,False,Jolene,Acoustic Songs,,,,,,,
47,markettes99,The Dance,1997-08-19,Fleetwood Mac,False,"Big Love - Live at Warner Brothers Studios in Burbank, CA 5/23/97",Acoustic Songs,,,,,,,
48,markettes99,Continuum,2006-09-11,John Mayer,False,Slow Dancing in a Burning Room,Acoustic Songs,,,,,,,
