artist,title,lyric
U2,One,one lyrics is it getting better or do you feel the same will it make it easier on you now you got someone to blame   you say one love one life when it's one need in the night one love we get to share it leaves you baby if you don't care for it   did i disappoint you or leave a bad taste in your mouth you act like you never had love and you want me to go without   well it's too late tonight to drag the past out into the light we're one but we're not the same we get to carry each other carry each other one   have you come here for forgiveness have you come to raise the dead have you come here to play jesus to the lepers in your head  did i ask too much more than a lot you gave me nothing now it's all i got we're one but we're not the same well we hurt each other then we do it again   you say love is a temple love a higher law love is a temple love the higher law you ask me to enter but then you make me crawl and i can't be holding on to what you got when all you got is hurt   one love one blood one life you got to do what you should one life with each other sisters brothers one life but we're not the same we get to carry each other carry each other one one   oohoohooh ohooh may we may we may we get higher oh higher ay yeah go higher oh higherembed
U2,With or Without You,with or without you lyrics see the stone set in your eyes see the thorn twist in your side i'll wait for you sleight of hand and twist of fate on a bed of nails she makes me wait and i wait without you   with or without you with or without you   through the storm we reach the shore you give it all but i want more and i'm waiting for you   with or without you with or without you ahah i can't live with or without you   and you give yourself away and you give yourself away and you give and you give and you give yourself away  my hands are tied my body bruised she got me with nothing to win and nothing left to lose   and you give yourself away and you give yourself away and you give and you give and you give yourself away   with or without you with or without you ohh i can't live with or without you   with or without you with or without you ohh i can't live with or without you with or without you48embed
U2,I Still Haven’t Found What I’m Looking For,i still havent found what im looking for lyrics i have climbed the highest mountains i have run through the fields only to be with you only to be with you i have run i have crawled i have scaled these city walls these city walls only to be with you   but i still haven't found what i'm looking for but i still haven't found what i'm looking for   i have kissed honey lips felt the healing in her fingertips it burned like fire this burning desire i have spoke with the tongue of angels i have held the hand of a devil it was warm in the night i was cold as a stone  but i still haven't found what i'm looking for but i still haven't found what i'm looking for      i believe in the kingdom come then all the colours will bleed into one bleed into one but yes i'm still running you broke the bonds and you loosed the chains carried the cross of my shame of my shame you know i believe it   but i still haven't found what i'm looking for but i still haven't found what i'm looking for but i still haven't found what i'm looking for but i still haven't found what i'm looking for  embed
U2,Sunday Bloody Sunday,sunday bloody sunday lyrics yeah mhm   i can't believe the news today oh i can't close my eyes and make it go away   how long how long must we sing this song how long how long 'cause tonight we can be as one tonight   broken bottles under children's feet bodies strewn across the dead end street but i won't heed the battle call it puts my back up puts my back up against the wall  refrain sunday bloody sunday sunday bloody sunday sunday bloody sunday sunday bloody sunday alright let's go  and the battle's just begun there's many lost but tell me who has won the trench is dug within our hearts and mothers children brothers sisters torn apart  refrain sunday bloody sunday sunday bloody sunday   how long how long must we sing this song how long how long 'cause tonight we can be as one tonight  refrain sunday bloody sunday tonight tonight sunday bloody sunday tonight tonight come get some   wipe the tears from your eyes wipe your tears away oh wipe your tears away oh wipe your tears away refrain sunday bloody sunday oh wipe your bloodshot eyes sunday bloody sunday sunday bloody sunday sunday bloody sunday oh sunday bloody sunday sunday bloody sunday oh yeah let's go  4 and it's true we are immune when fact is fiction and tv reality and today the millions cry sunday bloody sunday we eat and drink while tomorrow they die sunday bloody sunday the real battle just begun sunday bloody sunday to claim the victory jesus won sunday bloody sunday on  refrain sunday bloody sunday yeah yeah sunday bloody sunday5embed
U2,Pride (In the Name of Love),pride in the name of love lyrics one man come in the name of love one man come and go one man come he to justify one man to overthrow   in the name of love what more in the name of love in the name of love what more in the name of love   one man caught on a barbed wire fence one man he resist one man washed up on an empty beach one man betrayed with a kiss   in the name of love what more in the name of love in the name of love what more in the name of love  interlude nothing like love there's nothing like love nobody like you there's nobody like you harmonizing break   early morning april 4 shot rings out in the memphis sky free at last they took your life they could not take your pride   in the name of love what more in the name of love in the name of love what more in the name of love   in the name of love what more in the name of love in the name of love what more in the name of love  harmonizing 4embed
U2,Beautiful Day,beautiful day lyrics the heart is a bloom shoots up through the stony ground there's no room no space to rent in this town you're out of luck and the reason that you had to care the traffic is stuck and you're not moving anywhere you thought you'd found a friend to take you out of this place someone you could lend a hand in return for grace   it's a beautiful day sky falls you feel like it's a beautiful day don't let it get away   you're on the road but you've got no destination you're in the mud in the maze of her imagination you love this town even if that doesn't ring true you've been all over and it's been all over you   it's a beautiful day don't let it get away it's a beautiful day oohhoohoo post touch me take me to that other place teach me i know i'm not a hopeless case   see the world in green and blue see china right in front of you see the canyons broken by cloud see the tuna fleets clearing the sea out see the bedouin fires at night see the oil fields at first light and see the bird with a leaf in her mouth after the flood all the colours came out   it's a beautiful day don't let it get away beautiful day  post touch me take me to that other place reach me i know i'm not a hopeless case  what you don't have you don't need it now what you don't know you can feel it somehow what you don't have you don't need it now don't need it now was a beautiful day7embed
U2,Get Out of Your Own Way,get out of your own way lyrics bono get out of your own way hey hey get out of your own way hey hey   bono love hurts now you're the girl who's left with no words your heart's a balloon but then it bursts it doesn't take a cannon just a pin your skin's not covering and resistance love has got to fight for its existence the enemy has armies of assistance the amorous the glamorous the kiss a fist listen to this oh   bono get out of your own way oh i get out of your own way oh i  post bono i could sing it to you all night all night if i could i'd make it alright alright nothing's stopping you except what's inside i can help you but it's your fight your fight  bono fight back don't take it lyin' down you got to bite back the face of liberty's starting to crack she had a plan up until she got a smack in the mouth and it all went south like freedom the slaves are lookin' for someone to lead them the master's lookin' for someone to need him the promised land is there for those who need it most and lincoln's ghost said   bono get out of your own way oh i get out of your own way oh i  post bono i could sing it to you all night all night if i could i'd make it alright alright nothing's stopping you except what's inside i can help you but it's your fight your fight   bono get out of your own way get out of your own way     bono get out of your own way get out of your own way get out of your own way   kendrick lamar blessed are the arrogant for there is the kingdom of their own company blessed are the superstars for the magnificence in their light we understand better our own insignificance blessed are the filthy rich for you can only truly own what you give away like your painembed
U2,Where the Streets Have No Name,where the streets have no name lyrics i wanna run i want to hide i wanna tear down the walls that hold me inside i wanna reach out and touch the flame where the streets have no name   i wanna feel sunlight on my face i see the dustcloud disappear without a trace i wanna take shelter from the poison rain where the streets have no name   where the streets have no name where the streets have no name we're still building and burning down love burning down love and when i go there i go there with you it's all i can do   the city's a flood and our love turns to rust we're beaten and blown by the wind trampled in dust i'll show you a place high on a desert plain yeah where the streets have no name ahha  where the streets have no name where the streets have no name we're still building and burning down love burning down love and when i go there i go there with you it's all i can do   our love turns to rust we're beaten and blown by the wind blown by the wind oh and i see love see our love turn to rust we're beaten and blown by the wind blown by the wind oh when i go there i go there with you it's all i can doembed
U2,Every Breaking Wave,every breaking wave lyrics every breaking wave on the shore tells the next one there'll be one more and every gambler knows that to lose is what you're really there for  summer i was fearless now i speak into an answer phone like every falling leaf on the breeze winter wouldn't leave it alone alone   if you go if you go your way and i go mine are we so are we so helpless against the tide baby every dog on the street knows that we're in love with defeat are we ready to be swept off our feet and stop chasing every breaking wave   every sailor knows that the sea is a friend made enemy every shipwrecked soul knows what it is to live without intimacy i thought i heard the captain's voice but it's hard to listen while you preach like every broken wave on the shore this is as far as i could reach   if you go if you go your way and i go mine are we so are we so helpless against the tide baby every dog on the street knows that we're in love with defeat are we ready to be swept off our feet and stop chasing every breaking wave   the sea knows where are the rocks and drowning is no sin you know where my heart is the same place that yours has been we know that we fear to win and so we end before we begin before we begin   if you go if you go your way and i go mine are we so are we so helpless against the tide baby every dog on the street knows that we're in love with defeat are we ready to be swept off our feet and stop chasing every breaking wave64embed
U2,Song for Someone,song for someone lyrics you got a face not spoiled by beauty i have some scars from where i've been you've got eyes that can see right through me you're not afraid of anything they've seen  pre  i was told that i would feel nothing the first time i don't know how these cuts heal but in you i found a rhyme    if there is a light you can't always see and there is a world we can't always be if there is a dark that we shouldn't doubt and there is a light don't let it go out and this is a song a song for someone this is a song a song for someone   you let me in to a conversation a conversation only we could make you're breaking into my imagination whatever's in there it's yours to take pre  i was told i would feel nothing the first time you were slow to heal but this could be the night    if there is a light you can't always see and there is a world we can't always be if there is a dark within and without and there is a light don't let it go out and this is a song a song for someone this is a song this is a song for someone   and i'm a long long way from your hill of calvary and i'm a long way from where i was where i need to be if there is a light you can't always see and there is a world we can't always be if there is a kiss i stole from your mouth and there is a light don't let it go out44embed
