,SongReleaseDate,ArtistName,SongIsExplicit,SongName,PlaylistName
0,1999-05-04,John Williams,False,Duel of the Fates,Best soundtracks
1,2006-03-20,Jeremy Soule,False,Reign of the Septims,Best soundtracks
2,2006-03-20,Jeremy Soule,False,King and Country,Best soundtracks
3,2021-11-12,London Symphony Orchestra,False,Dragonborn,Best soundtracks
4,2016-04-01,Hyperduck Soundworks,False,Beyond The Imperial Prison (Oblivion Medley),Best soundtracks
5,2021-06-03,Jeremy Soule,False,Morrowind Recomposed: The Elder Scrolls III Theme,Best soundtracks
6,2021-11-12,London Symphony Orchestra,False,One They Fear,Best soundtracks
7,2021-11-12,London Symphony Orchestra,False,Unbroken Road,Best soundtracks
8,2020-03-26,Collosia,False,"Peace of Akatosh (From ""The Elder Scrolls IV: Oblivion"")",Best soundtracks
9,2021-11-12,London Symphony Orchestra,False,Aurora,Best soundtracks
10,2021-11-12,London Symphony Orchestra,False,Far Horizons,Best soundtracks
11,2021-11-12,London Symphony Orchestra,False,"Sky Above, Voice Within",Best soundtracks
12,2021-11-12,London Symphony Orchestra,False,Kyne's Peace,Best soundtracks
13,2021-11-12,London Symphony Orchestra,False,From Past to Present,Best soundtracks
14,2002-12-02,Howard Shore,False,Evenstar,Best soundtracks
15,2015-09-09,Adam Skorupa,False,Dwarven Stone Upon Dwarven Stone,Best soundtracks
16,2020-08-28,Philip Wareborn,False,Veni Vidi Vici,Best soundtracks
17,2015-04-22,SIE Sound Team,False,Moonlit Melody,Best soundtracks
0,2014-01-14,DJ ESCO,True,How It Was (feat. Future),Gang shit (Classic)
1,1995-01-01,Luniz,False,I Got 5 On It,Gang shit (Classic)
2,2021-10-08,Don Toliver,True,You (feat. Travis Scott),Gang shit (Classic)
3,2018-02-09,ScHoolboy Q,True,X (with 2 Chainz & Saudi),Gang shit (Classic)
4,2021-10-08,Don Toliver,True,OUTERSPACE (feat. Baby Keem),Gang shit (Classic)
5,2021-10-08,Don Toliver,True,Smoke (feat. HVN & SoFaygo),Gang shit (Classic)
6,2021-05-14,J. Cole,False,a m a r i,Gang shit (Classic)
7,2021-06-11,Migos,True,Avalanche,Gang shit (Classic)
8,2018-01-26,Migos,True,Supastars,Gang shit (Classic)
